year,average_emissions_per_capita
1992,4.885
1993,4.807
1994,4.743
1995,4.712
1996,4.757
1997,4.727
1998,4.794
1999,4.49
2000,4.492
2001,4.567
2002,4.634
2003,4.82
2004,4.91
2005,5.0
2006,5.089
2007,5.159
2008,5.275
2009,4.812
2010,4.965
2011,5.022
2012,5.049
2013,4.993
2014,4.899
2015,4.845
2016,4.805
2017,4.804
2018,4.861
2019,4.789
2020,4.516
2021,4.737
2022,4.776
